                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 3.2483,                  5.672,                 4.1917,                      0,                      0,                      0,                      0,                 3.3779,                 5.3204,                 4.1527,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 3.2677,                 5.7231,                 4.2473,                      0,                      0,                      0,                      0,                  3.378,                 5.3199,                 4.1525,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 3.2103,                 5.5837,                  4.234,                      0,                      0,                      0,                      0,                  3.378,                 5.3199,                 4.1525,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 3.6125,                 5.6621,                 4.2163,                      0,                      0,                      0,                      0,                 3.3775,                 5.3181,                 4.1525,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 2.9461,                 5.4687,                 4.2269,                      0,                      0,                      0,                      0,                 3.3775,                 5.3181,                 4.1525,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                 3.2046,                 5.5159,                 4.2287,                      0,                      0,                      0,                      0,                  3.376,                 5.3221,                 4.1526,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                 3.6191,                 5.4151,                  4.242,                      0,                      0,                      0,                      0,                  3.376,                 5.3221,                 4.1526,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 2.7498,                 5.4064,                 4.2312,                      0,                      0,                      0,                      0,                  3.376,                 5.3221,                 4.1526,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                 3.1618,                 5.5109,                  4.191,                      0,                      0,                      0,                      0,                 3.3762,                 5.3198,                 4.1526,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                 3.4827,                   5.37,                 4.1813,                      0,                      0,                      0,                      0,                 3.3762,                 5.3198,                 4.1526,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 2.9632,                 5.5169,                 4.2239,                      0,                      0,                      0,                      0,                 3.3762,                 5.3198,                 4.1526,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 3.1511,                 5.5507,                 4.2785,                      0,                      0,                      0,                      0,                 3.3752,                 5.3188,                 4.1525,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                 2.9776,                 5.5541,                  4.258,                      0,                      0,                      0,                      0,                 3.3752,                 5.3188,                 4.1525,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                 2.7701,                 5.5221,                 4.1872,                      0,                      0,                      0,                      0,                 3.3752,                 5.3188,                 4.1525,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                 3.1335,                 5.4386,                 4.2636,                      0,                      0,                      0,                      0,                 3.3754,                 5.3221,                 4.1524,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                 3.4729,                 5.5993,                 4.1961,                      0,                      0,                      0,                      0,                 3.3754,                 5.3221,                 4.1524,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                 3.0162,                 5.5075,                 4.2089,                      0,                      0,                      0,                      0,                 3.3754,                 5.3221,                 4.1524,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                 3.0283,                 5.6611,                 4.2262,                      0,                      0,                      0,                      0,                 3.3754,                 5.3195,                 4.1527,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                 3.1998,                 5.6302,                 4.3089,                      0,                      0,                      0,                      0,                 3.3754,                 5.3195,                 4.1527,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                  3.354,                 5.5138,                 4.2088,                      0,                      0,                      0,                      0,                 3.3754,                 5.3195,                 4.1527,             2.7905e-05,             2.7905e-05,             2.7905e-05
